source,target
ratitisari,AbaheAyman
ratitisari,ARH1924_New
ratitisari,podoradong
ratitisari,AbuAskar3
Harry_Soedyanto,susipudjiastuti
ferryirawanac,susipudjiastuti
ferryirawanac,podoradong
a_me_name,basuki_btp
RudiHar90664727,susipudjiastuti
RudiHar90664727,AgusYudhoyono
KangAndiFirdaus,susipudjiastuti
KartikoVianto,susipudjiastuti
KartikoVianto,podoradong
Elmirakid,OfficialBMI__
Elmirakid,PolitikToday
Elmirakid,GafIkhsan
Elmirakid,renandabachtar
Elmirakid,AgusYudhoyono
Elmirakid,AgusYudhoyono
Elmirakid,RicKY_KCh
Elmirakid,Demokrat_TV
gitamarindra,detikfinance
gitamarindra,detikfinance
gitamarindra,detikfinance
gitamarindra,CNNIndonesia
gitamarindra,detikfinance
gitamarindra,susipudjiastuti
bedarmanto,susipudjiastuti
ChristWamea,susipudjiastuti
ChristWamea,AgusYudhoyono
ChristWamea,geloraco
ChristWamea,Demokrat_TV
ChristWamea,renandabachtar
ChristWamea,AgusYudhoyono
ChristWamea,cnbcindonesia
javayes2,susipudjiastuti
melepassimpul,LokadataID
nurjamil_d,susipudjiastuti
nurjamil_d,podo_ora_dong
SantaPradana,reformasimental
SantaPradana,dapitnih
SantaPradana,motizenchannel
SantaPradana,geloraco
SantaPradana,susipudjiastuti
SantaPradana,podoradong
SantaPradana,podoradong
SantaPradana,renandabachtar
SantaPradana,musniumar
WiePind,susipudjiastuti
haidigi_,cnbcindonesia
haidigi_,cnbcindonesia
bronchodong,podoradong
bronchodong,podo_ora_dong
bronchodong,susipudjiastuti
nuylubis,susipudjiastuti
AhmadFatih1453_,NewsMuslimah
AhmadFatih1453_,AbuAinul1
AhmadFatih1453_,Habibah_US2
AhmadFatih1453_,NewsMuslimah
AhmadFatih1453_,ARH1924_New
AhmadFatih1453_,ovan_ghozali1
AhmadFatih1453_,tintasiyasi_id
hbbokto,LokadataID
WPa5nan,susipudjiastuti
Ahmadduha20,ANGIN131 HumasPaskot11 wiwikherma ThohirAkbar kasiyono34yahoo pitu_tujuh Sektortegalsar1 jogja_kuat Ahmadduha20 Anta_sena212
didi_zikzin,BigAlphaID
ANGIN131,Dennysiregar7
ANGIN131,HumasPaskot11 wiwikherma ThohirAkbar kasiyono34yahoo pitu_tujuh Sektortegalsar1 jogja_kuat Ahmadduha20 Anta_sena212 ridoyando85 Ayahamutnpudib1 DjokoSa03047097
sadewojo,susipudjiastuti
sadewojo,BigAlphaID
Santoso49656758,susipudjiastuti
Santoso49656758,podo_ora_dong
Santoso49656758,AV4tarPemburu
Santoso49656758,AV4tarPemburu
JoePhiyo,dapitnih
JoePhiyo,podoradong
JoePhiyo,podo_ora_dong
JoePhiyo,susipudjiastuti
ovan_ghozali1,UkhtyWinnie
Kuring_deddi,Betzlectric
Kuring_deddi,susipudjiastuti
harsohananto,reformasimental
harsohananto,susipudjiastuti
harsohananto,podoradong
harsohananto,podo_ora_dong
gilangganesha2,dhannyandriany
vianratulangi,susipudjiastuti
vianratulangi,DTanjung15
RosaRosaniasari,Demokrat_TV
RosaRosaniasari,ajeng_cute16 CNNIndonesia
RosaRosaniasari,AgusYudhoyono
endang_nz,Quvvatt
Mysoul03559460,susipudjiastuti
Mysoul03559460,Yusuf_Mansur
gentanggentong2,susipudjiastuti
gentanggentong2,CNNIndonesia
SartonoHutomo,AgusYudhoyono
SartonoHutomo,Demokrat_TV
SartonoHutomo,AgusYudhoyono
nyak_ih_meutuah,susipudjiastuti
OfficialBMI__,Demokrat_TV
OfficialBMI__,Demokrat_TV
OfficialBMI__,PolitikToday
OfficialBMI__,renandabachtar
_Henz14,susipudjiastuti
cipuy,cnbcindonesia
cipuy,cnbcindonesia
cipuy,cnbcindonesia
habaseru,BigAlphaID
ridwannukasep,endar82 DcabIndonesia TulipKuning5 Arsymuhammad9 luthfivip detikcom
marchell_CnR,liputan6dotcom
scorpious_11b,susipudjiastuti
tengamalam,SirSanndy
thiaans,susipudjiastuti
kangewink,Dandhy_Laksono
kangewink,podo_ora_dong
kangewink,susipudjiastuti
didiklpambudi,AgusYudhoyono
didiklpambudi,AgusYudhoyono
didiklpambudi,Demokrat_TV
didiklpambudi,Demokrat_TV
Demokrat_TV,AgusYudhoyono
Demokrat_TV,AgusYudhoyono
Demokrat_TV,Demokrat_TV
gadisresidu_b3,erroyh gadisresidu_b3
AbolichdZ,podoradong
AbolichdZ,susipudjiastuti
AbolichdZ,cnbcindonesia
AmarSyariful,umaralims
AmarSyariful,Berkarya_Info
AmarSyariful,podo_ora_dong
AmarSyariful,dapitnih
AmarSyariful,Berkarya_Info
AmarSyariful,podoradong
AmarSyariful,susipudjiastuti
AmarSyariful,fadlizon pln_123
AmarSyariful,podoradong
AmarSyariful,zarazettirazr
AmarSyariful,AdhieMassardi
notalentgeek,susipudjiastuti
Hayik02,ChusnulSyantik
Hayik02,susipudjiastuti
MjExplorer,susipudjiastuti
ker_asa,susipudjiastuti
ker_asa,zarazettirazr
ker_asa,musniumar
erroyh,Miduk17
erroyh,Adi_8002 ustadtengkuzul RamliRizal msaid_didu
erroyh,gadisresidu_b3
deoeyi,susipudjiastuti
badir03,LexWu13
badir03,susipudjiastuti
badir03,podoradong
rickybarmansyah,ovan_ghozali1
ftmhf14,ARH1924_New
kungaiko,gadisresidu_b3
